location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
Afghanistan,41128772,,571.8964816163244,19.446240699819583,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,3.400307804807537,0.0,0.0,0.0,483.0,29.940111024953527,-0.23468429233794288,209.0,0.05293967183540574
Albania,2842318,,11787.808401452616,126.8330989002638,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.0759684462179933,0.0,0.0,0.0,679.0,541.9872090315017,-0.4431993054528265,209.0,0.06540879308199755
Algeria,44903228,,606.0566514282671,15.324065343364623,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.52848728039715,2.6666666666666665,0.0,0.0,700.0,32.90186620881688,-0.13500146550169784,209.0,0.07965035055223063
American Samoa,44295,,18871.204424878655,76.75809910825149,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.40674721856681423,0.0,0.0,0.0,189.0,4246.528953606502,-0.034968398962882105,209.0,0.07965035055223063
Andorra,79843,,60136.768408000695,199.14081384717505,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.331146516713527,0.0,0.0,0.0,679.0,4358.5536615608125,-0.0994438490363683,160.0,0.07837875188041261
Angola,35588996,,302.00627182626897,5.4426935786556045,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.8021789897749372,0.0,0.0,0.0,637.0,31.627753702296065,-0.12386370035167833,209.0,0.03424530487412462
Anguilla,15877,,24589.028153933363,75.58102916168042,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.3073770491803279,0.0,0.0,0.0,658.0,1656.4842224601625,-0.009680452986662582,85.0,0.04345021186476269
Antigua and Barbuda,93772,,9710.78786844687,155.69679648509148,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.6033384581594552,0.0,0.0,0.0,686.0,668.6430917544683,-0.01437509790631365,155.0,0.1538433001603002
Argentina,45510324,,22195.44295048306,287.10628384012387,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2935370764198932,11.0,0.09523809523809523,0.0,679.0,1693.4333405317002,-15.326378112762777,292.0,0.07216013672124656
Armenia,2780472,,16266.051231589458,315.66582939874957,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.9406420458439926,0.0,0.0,0.0,700.0,846.0434055800598,-0.31222823612863965,209.0,0.05087257001576967
