location,gmm_cluster,cluster_label,cluster_category,feature,value
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.9726426183099866
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.8028063185561312
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,1.3984105113106278
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,-0.8054362460593919
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.6022599215002349
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1912821131623998
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
Afghanistan,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.7108864073472595
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.4239878765914145
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,0.0140080850128267
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.0983292959561576
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.336818793806655
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.4526938272201354
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1866854320489901
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
Albania,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.4327770128682049
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.970971587075149
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.8341607343721205
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,0.8370086321680474
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2019363048984076
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.4592032623637315
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,-0.6013948093713138
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1934796056144037
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
Algeria,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.115135468916761
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,-0.077485617702429
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,-0.3668763339398364
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.5292689724676328
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,-2.518818805858462
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,0.6293821028861674
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1956848190463118
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.0912657671231082
American Samoa,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.115135468916761
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_rate_per_100k,1.941123971143334
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,mortality_rate_per_100k,0.56400073818788
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,testing_rate_per_1k,0.0
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vaccination_rate_pct,-0.0771346587725072
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,hospitalization_rate_per_100k,-0.0647081069505546
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,icu_rate_per_100k,-0.045597059625042
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,case_fatality_rate_pct,-0.5779514419628734
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_case_growth,-0.2217199049194657
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recent_death_growth,-0.0909244388084104
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_peak,0.336818793806655
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,peak_case_rate_per_100k,0.6621038937074109
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,recovery_speed,0.1942634677526853
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,days_to_50pct_vax,-0.5504378978091798
Andorra,1,Healthcare-Strained Regions,Healthcare-Strained Regions,vax_acceleration,-0.1434970133789531
